"datasetid","doi"
1,"10.1139/e91-055"
2,"10.1139/e91-055"
3,"10.1139/e91-055"
4,"10.1139/e91-055"
5,"10.1139/e91-055"
6,"10.1139/e91-055"
195,"10.1016/0033-5894(73)900"
202,"10.1017/S0033822200011413"
203,"10.2307/1942485"
204,"10.2475/ajs.262.9.1075"
205,"10.1007/BF00226322"
205,"10.1007/BF00026639"
228,"10.1016/0033-5894(85)90054-7"
237,"10.1016/0033-5894(88)90034-8"
237,"10.1007/BF00114719"
246,"10.1017/S0033822200003404"
250,"10.1007/BF01092417"
251,"10.1016/j.quascirev.2006.11.018"
251,"10.1016/S1040-6182(03)00133-2"
252,"10.1016/j.quascirev.2006.11.018"
252,"10.1016/S1040-6182(03)00133-2"
257,"10.7202/1000324ar"
258,"10.7202/1000324ar"
262,"10.1139/e91-055"
263,"10.1139/e91-055"
264,"10.1139/e91-055"
265,"10.1139/e91-055"
266,"10.1139/e91-055"
272,"10.1177/095968369200200105"
275,"10.2307/1939818"
275,"10.2307/2259121"
275,"10.1017/S0033822200005348"
275,"10.1017/S0033822200003404"
282,"10.1017/S0033822200000709"
288,"10.1139/e91-055"
289,"10.1139/e91-055"
290,"10.1139/e91-055"
291,"10.1139/e91-055"
292,"10.1139/e91-055"
293,"10.1139/e91-055"
295,"10.2307/1933597"
300,"10.1139/e93-210"
308,"10.7202/1000060ar"
309,"10.2458/azu_js_rc.22.599"
309,"10.1017/S0033822200037504"
313,"10.1007/BF00226322"
316,"10.1016/0277-3791(93)90003-5"
332,"10.1016/0033-5894(75)90013-7"
333,"10.1007/BF00226322"
336,"10.7202/033027ar"
347,"10.1017/S0033822200000333"
347,"10.1130/0016-7606(1963)74[1485:PAOSMF]2.0.CO;2"
350,"10.1111/j.1502-3885.1991.tb00459.x"
352,"10.1017/S0033822200036936"
361,"10.1016/0277-3791(95)00063-1"
361,"10.2307/2937135"
361,"10.1006/qres.1993.1042"
361,"10.1038/361623a0"
363,"10.1017/S0033822200060458"
370,"10.7202/1000324ar"
371,"10.7202/1000324ar"
372,"10.7202/1000324ar"
373,"10.7202/1000324ar"
488,"10.1080/01916122.1983.9989252"
489,"10.1016/0033-5894(92)90074-S"
493,"10.1139/b76-194"
494,"10.1016/0033-5894(88)90034-8"
494,"10.1007/BF00114719"
498,"10.1017/S0033822200000710"
498,"10.1130/0016-7606(1963)74[1485:PAOSMF]2.0.CO;2"
503,"10.1016/0033-5894(88)90034-8"
503,"10.1007/BF00114719"
506,"10.1130/0016-7606(1997)109<1306:TFALQP>2.3.CO;2"
514,"10.1130/0016-7606(1997)109<1306:TFALQP>2.3.CO;2"
524,"10.1017/S0033822200005348"
539,"10.2307/2845468"
546,"10.1016/0033-5894(88)90034-8"
546,"10.1007/BF00114719"
681,"10.1007/BF00226322"
699,"10.2307/1942212"
701,"10.1017/S0033822200043794"
720,"10.1111/j.1502-3885.1976.tb00260.x"
770,"10.2307/1942212"
771,"10.2307/2937324"
773,"10.7202/1000060ar"
774,"10.1007/BF00226322"
779,"10.1139/e91-055"
782,"0.1139/e80-122"
783,"10.1139/e91-055"
795,"10.1016/0033-5894(88)90034-8"
795,"10.1007/BF00114719"
796,"10.1017/S0033822200043794"
803,"10.1017/S0033822200000333"
803,"10.1017/S0033822200000710"
814,"10.2307/2484166"
831,"10.2307/2261663"
832,"10.7202/032974ar"
834,"10.1139/b76-194"
845,"10.2307/2484166"
845,"10.2307/2261663"
850,"10.1111/j.1469-8137.1983.tb03434.x"
873,"10.2307/2261663"
877,"10.1017/S0033822200011413"
972,"10.2475/ajs.256.8.540"
974,"10.1016/0034-6667(75)90040-8"
983,"10.2307/2484166"
983,"10.2307/2261663"
988,"10.7202/1000324ar"
989,"10.7202/1000324ar"
992,"10.1016/S0034-6667(00)00042-7"
993,"10.1016/S0034-6667(00)00042-7"
994,"10.1016/S0034-6667(00)00042-7"
995,"10.1016/S0034-6667(00)00042-7"
996,"10.1016/S0034-6667(00)00042-7"
999,"10.1017/S0033822200011413"
1001,"10.7202/033027ar"
1010,"10.7202/032476ar"
1110,"10.1017/S0033822200011413"
1110,"10.1016/0033-5894(75)90027-7"
1111,"10.1177/095968369200200105"
1112,"10.1139/e91-055"
1138,"10.1007/BF00226322"
1146,"10.1017/S0033822200005348"
1147,"10.1017/S0033822200005348"
1398,"10.1080/00040851.1981.12004259"
1399,"10.1080/00040851.1981.12004259"
1400,"10.1080/00040851.1981.12004259"
1401,"10.1080/00040851.1981.12004259"
1402,"10.1080/00040851.1981.12004259"
1403,"10.1080/00040851.1981.12004259"
1404,"10.1080/00040851.1981.12004259"
1405,"10.1080/00040851.1981.12004259"
1406,"10.1080/00040851.1981.12004259"
1407,"10.1080/00040851.1981.12004259"
1408,"10.1080/00040851.1981.12004259"
1409,"10.1080/00040851.1981.12004259"
1410,"10.1080/00040851.1981.12004259"
1411,"10.1080/00040851.1981.12004259"
1412,"10.1080/00040851.1981.12004259"
