all,n,score
genomics,84,0
genetics,72,0
bioinformatics,71,0
health,69,0
multidisciplinary,137,1
biology,64,1
biodiversity,53,1
dna,50,1
climate,46,1
environment,42,1
meteorology,41,1
agriculture,39,1
atmosphere,39,1
ecology,39,1
climate change,38,1
hydrology,33,1
climatology,30,1
weather,29,1
ecosystem,29,1
oceanography,29,1
life sciences,27,1
ocean,25,1
geology,24,1
water,21,1
physical sciences,20,1
earth sciences,19,1
plants,19,1
geography,18,1
temperature,18,1
systems biology,16,1
earthquake,15,1
topography,14,1
land use,13,1
archaeology,13,1
cryosphere,13,1
environmental science,12,1
fisheries,11,1
ecosystems,11,1
earth science,11,1
environmental health,11,1
water quality,10,1
forestry,10,1
geosciences,10,1
maps,10,1
geodesy,10,1
deep sea,10,1
space weather,10,1
biogeochemistry,9,1
bathymetry,9,1
geospatial data,9,1
biosphere,9,1
environmental sciences,9,1
phylogenetics,9,1
wildlife,8,1
earth observation,8,1
mammals,8,1
vegetation,8,1
glaciology,8,1
botany,7,1
hydrography,7,1
forest,7,1
snow,7,1
ice,7,1
clouds,7,1
atmospheric science,7,1
meterology,7,1
precipitation,7,1
geodynamics,7,1
aquaculture,6,1
natural resources,6,1
marine biology,6,1
plant,6,1
zooplankton,6,1
space,6,1
land surface,6,1
satellite data,6,1
gravity,6,1
environmental monitoring,6,1
marine ecology,6,1
vertebrates,6,1
marine sciences,6,1
marine,6,1
arctic,6,1
space sciences,6,1
atomic physics,6,1
seafloor,6,1
geographic information systems,6,1
parks,5,1
biological oceanography,5,1
mineralogy,5,1
greenhouse gases,5,1
sediments,5,1
rocks,5,1
plate tectonics,5,1
geomorphology,5,1
solid earth,5,1
earth,5,1
stratosphere,5,1
flora,5,1
evolution,5,1
climate data,5,1
taxa,5,1
soil,5,1
fossils,5,1
weather forecasting,5,1
arctic regions,5,1
physical oceanography,4,1
paleontology,4,1
physical geography,4,1
ice sheets,4,1
paleoclimatology,4,1
global change,4,1
land cover,4,1
glaciers,4,1
paleoclimate,4,1
prehistory,4,1
statistics,39,0
education,39,0
economics,33,0
proteins,33,0
rna,30,0
social sciences,30,0
fair,28,0
demography,28,0
molecular biology,28,0
census data,27,0
proteomics,26,0
cancer,25,0
remote sensing,25,0
corpora,25,0
gene expression,25,0
protein,24,0
human,23,0
genes,23,0
energy,22,0
geophysics,22,0
history,22,0
medicine,22,0
population,21,0
transportation,20,0
bacteria,20,0
microdata,20,0
culture,19,0
census,19,0
biochemistry,19,0
taxonomy,19,0
biotechnology,18,0
business,17,0
disease,17,0
fungi,17,0
genome,17,0
genomes,17,0
astronomy,16,0
public health,15,0
chemistry,15,0
satellite,14,0
astrophysics,14,0
law,13,0
gene,13,0
survey,13,0
seismology,13,0
birds,13,0
crystallography,13,0
physics,12,0
animals,12,0
india,12,0
phenotype,12,0
morphology,12,0
nutrition,12,0
humanities,12,0
spectroscopy,12,0
politics,11,0
canada,11,0
metabolism,11,0
mouse,11,0
mental health,11,0
economy,10,0
mortality,10,0
minerals,10,0
molecules,10,0
air pollution,10,0
sociology,10,0
diseases,10,0
ozone,10,0
epidemiology,10,0
insects,10,0
linguistics,10,0
finance,9,0
air quality,9,0
music,9,0
chromosome,9,0
sediment,9,0
biomedicine,9,0
sequences,9,0
mass spectrometry,9,0
income,9,0
solar activity,9,0
satellites,9,0
infrastructure,8,0
transport,8,0
cell,8,0
tourism,8,0
public safety,8,0
demographics,8,0
arts,8,0
family,8,0
virus,8,0
homo sapiens,8,0
health care,8,0
metabolomics,8,0
pathway,8,0
political science,8,0
ionosphere,8,0
measurement,8,0
protein binding,8,0
software,7,0
recreation,7,0
government,7,0
employment,7,0
anthropology,7,0
engineering,7,0
australia,7,0
viruses,7,0
survey data,7,0
drugs,7,0
computer science,7,0
science,7,0
migration,7,0
magnetosphere,7,0
cell biology,7,0
wavelength,7,0
poverty,7,0
nucleotide sequence,7,0
treatment,6,0
microorganisms,6,0
drilling,6,0
neuroimaging,6,0
aging,6,0
brain,6,0
protein-protein interaction,6,0
microbiology,6,0
ontology,6,0
immunology,6,0
nucleotide,6,0
pig,6,0
mathematics,6,0
architecture,6,0
